delta,E_AB,stderr_E,E_c_theory,E_singlet,E_local_branch,E_populations,E_coherence,P_pp,P_pm,P_mp,P_mm,P_A_plus,P_B_plus
1.3089969389957474,-0.26043,0.0021589073800188834,-0.2588190451025205,-0.2588190451025205,-0.12963,-0.12857401744815644,-0.1302450276543641,0.184235,0.31559,0.314625,0.18555,0.499825,0.49886
1.3962634015954638,-0.17498,0.0022015698939620337,-0.17364817766693022,-0.17364817766693022,-0.08488,-0.0875468695269138,-0.0861013081400164,0.20639,0.29484,0.29265,0.20612,0.50123,0.49904
1.4835298641951802,-0.08741,0.0022275092501491435,-0.08715574274765814,-0.08715574274765814,-0.04514,-0.04261029577140603,-0.044545446976252116,0.228385,0.272365,0.27134,0.22791,0.50075,0.499725
1.5707963267948966,-0.00095,0.002236066968473887,-6.123233995736766e-17,-6.123233995736766e-17,0.00157,-0.000213777454060145,0.00021377745406008338,0.25066,0.249315,0.25116,0.248865,0.499975,0.50182
1.658062789394613,0.0875,0.0022274915824756778,0.08715574274765801,0.08715574274765801,0.04438,0.041458141651390085,0.045697601096267935,0.26915,0.22889,0.22736,0.2746,0.49804,0.49651
1.7453292519943293,0.17452,0.0022017524493003295,0.17364817766693008,0.17364817766693008,0.09169,0.08602942083321975,0.08761875683371033,0.29343,0.205935,0.206805,0.29383,0.499365,0.500235
1.8325957145940457,0.25503,0.002162128232899242,0.2588190451025204,0.2588190451025204,0.13185,0.12935815587630836,0.12946088922621202,0.314795,0.18699,0.185495,0.31272,0.501785,0.50029
1.919862177193762,0.3407,0.0021022886457382583,0.34202014332566827,0.34202014332566827,0.17056,0.1717085946818718,0.1703115486437965,0.335465,0.16591,0.16374,0.334885,0.501375,0.499205
2.0071286397934784,0.42234,0.002026855846378819,0.42261826174069894,0.42261826174069894,0.2105,0.21066528146980315,0.2119529802708958,0.355485,0.14405,0.14478,0.355685,0.499535,0.500265
2.0943951023931957,0.49786,0.0019392465294541588,0.5000000000000002,0.5000000000000002,0.25113,0.25180323232064517,0.248196767679355,0.37659,0.12515,0.12592,0.37234,0.50174,0.50251
2.181661564992912,0.57549,0.0018286761056841095,0.5735764363510462,0.5735764363510462,0.28415,0.28594703175482467,0.2876294045962215,0.393045,0.105885,0.10637,0.3947,0.49893,0.499415
2.2689280275926285,0.64232,0.0017138042735388426,0.6427876096865394,0.6427876096865394,0.32044,0.32132209257282796,0.3214655171137114,0.410645,0.089045,0.089795,0.410515,0.49969,0.50044
2.356194490192345,0.70589,0.0015838549616363235,0.7071067811865475,0.7071067811865475,0.35579,0.35452735371192606,0.3525794274746214,0.42566,0.0735,0.073555,0.427285,0.49916,0.499215
2.443460952792061,0.76954,0.0014279499087853187,0.7660444431189779,0.7660444431189779,0.38127,0.3829527210432908,0.38309172207568715,0.44258,0.057195,0.058035,0.44219,0.499775,0.500615
2.5307274153917776,0.81736,0.0012882597377858241,0.8191520442889916,0.8191520442889916,0.40822,0.40928027056940613,0.4098717737195855,0.45401,0.04513,0.04619,0.45467,0.49914,0.5002
2.617993877991494,0.86715,0.0011136670900677634,0.8660254037844385,0.8660254037844385,0.43276,0.43315609662285715,0.43286930716158123,0.46756,0.03321,0.033215,0.466015,0.50077,0.500775
2.7052603405912103,0.90758,0.0009388784362205787,0.9063077870366497,0.9063077870366497,0.4555,0.45326994207920607,0.45303784495744376,0.47754,0.02342,0.02279,0.47625,0.50096,0.50033
2.7925268031909267,0.93975,0.0007644276862463842,0.9396926207859082,0.9396926207859082,0.46998,0.46940166779488746,0.4702909529910207,0.48551,0.014735,0.01539,0.484365,0.500245,0.5009
2.879793265790644,0.96524,0.0005844302456238899,0.9659258262890683,0.9659258262890683,0.48625,0.4827179193942307,0.48320790689483767,0.49067,0.00885,0.00853,0.49195,0.49952,0.4992
2.9670597283903604,0.98458,0.00039116635591522934,0.984807753012208,0.984807753012208,0.49005,0.49238996737976326,0.4924177856324448,0.49641,0.003955,0.003755,0.49588,0.500365,0.500165
3.0543261909900767,0.99607,0.00019804740720342603,0.9961946980917455,0.9961946980917455,0.49634,0.4985846655707712,0.49761003252097435,0.498285,0.000985,0.00098,0.49975,0.49927,0.499265
3.141592653589793,1.0,0.0,1.0,1.0,0.50127,0.499999998579088,0.500000001420912,0.500025,0.0,0.0,0.499975,0.500025,0.500025
